assignment__id	date	time	action	originator	role	responsible__name	responsible__role	old__value	new__value	comment
41	2026-02-26	04:44:57	9	admin	4	dhanu01	2		0	
41	2026-02-26	04:44:57	6	admin	4	dhanu01	2		0	
41	2026-02-26	04:44:57	10	admin	4	dhanu01	2			
41	2026-03-10	05:24:02	7	siva	5	ayoo01	1			
41	2026-03-11	04:39:15	7	siva	5	ayoo08	1			
41	2026-03-11	09:43:26	7	siva	5	dhanu01	2			
42	2026-02-26	04:44:57	1	admin	4	dhanu01	2			
42	2026-02-26	04:44:57	8	admin	4	dhanu01	2		1	
42	2026-02-26	04:44:57	9	admin	4	dhanu01	2		0	
42	2026-02-26	04:44:57	6	admin	4	dhanu01	2		0	
42	2026-02-26	04:44:57	10	admin	4	dhanu01	2			
42	2026-03-10	05:24:55	7	siva	5	ayoo01	1			
42	2026-03-10	09:43:48	7	siva	5	ayoo02	1			
42	2026-03-10	10:36:09	7	siva	5	ayoo05	1			
42	2026-03-11	04:51:13	7	siva	5	ayoo07	1			
